model_key experiment_key datetime dataset case MSE_prediction MSE_compare MSE_ratio
81 84 2017-07-24,17:16:30.331446 EG-CU.mat (0,395,427,457,6) 5.9125009159 13.3416831643 0.443160045332
82 85 2017-07-24,17:17:50.398353 EG-CU.mat (0,395,427,457,6) 3.48975049303 13.3416831643 0.261567483656
83 86 2017-07-24,17:18:36.138259 EG-CU.mat (0,395,427,457,6) 5.27923318573 13.3416831643 0.395694690146
84 87 2017-07-24,17:19:57.831256 EG-CU.mat (0,395,427,457,6) 3.84736309888 13.3416831643 0.28837164333
85 88 2017-07-24,17:20:29.262954 EG-CU.mat (0,395,427,457,6) 3.67678820662 13.3416831643 0.275586532923
86 89 2017-07-24,17:21:11.169992 EG-CU.mat (0,395,427,457,6) 3.97542403907 13.3416831643 0.297970202868
87 90 2017-07-24,17:22:30.407574 EG-CU.mat (0,395,427,457,6) 4.30755114687 13.3416831643 0.322864146436
88 91 2017-07-24,17:24:53.260734 EG-CU.mat (0,395,427,457,6) 3.97111606288 13.3416831643 0.297647306863
89 92 2017-07-24,17:25:37.667010 EG-CU.mat (0,395,427,457,6) 3.84255273054 13.3416831643 0.288011091495
90 93 2017-07-24,17:26:28.174499 EG-CU.mat (0,395,427,457,6) 3.85742426039 13.3416831643 0.289125758188
91 94 2017-07-24,17:27:31.378153 EG-CU.mat (0,395,427,457,6) 3.87915342193 13.3416831643 0.290754425371
92 95 2017-07-24,17:28:40.701846 EG-CU.mat (0,395,427,457,6) 3.97862994419 13.3416831643 0.298210495271
93 96 2017-07-24,17:29:14.804419 EG-CU.mat (0,395,427,457,6) 3.84373549166 13.3416831643 0.288099743062
94 97 2017-07-24,17:30:00.136115 EG-CU.mat (0,395,427,457,6) 3.6563605799 13.3416831643 0.27405541976
95 98 2017-07-24,17:31:24.847454 EG-CU.mat (0,395,427,457,6) 3.9115725161 13.3416831643 0.293184335734
96 99 2017-07-24,17:32:45.254626 EG-CU.mat (0,395,427,457,6) 3.70115550274 13.3416831643 0.277412936371
97 100 2017-07-24,17:33:41.967803 EG-CU.mat (0,395,427,457,6) 3.584703426 13.3416831643 0.268684496689
98 101 2017-07-24,17:35:09.121820 EG-CU.mat (0,395,427,457,6) 3.53184027164 13.3416831643 0.264722241425
99 102 2017-07-24,17:36:14.231609 EG-CU.mat (0,395,427,457,6) 3.74561977326 13.3416831643 0.280745669577
